"UF","cod_Inst","cod_Curso","cor_raca","renda_num","renda_valor","renda","cota","ensino_medio","motivo","sexo","nome_curso"
25,2564,13405,"Amarela",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Outro","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Vocação","M","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Branca",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Vocação","M","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Branca",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola particular","Outro","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Baixa concorrência","M","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Outro","M","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Vocação","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Branca",3,"R$ 2.811,01 a R$ 4.216,50","Média-baixa","Escola pública","Todo escola pública","Vocação","M","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",3,"R$ 2.811,01 a R$ 4.216,50","Média-baixa","Não","Todo escola pública","Outro","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Outro","M","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",3,"R$ 2.811,01 a R$ 4.216,50","Média-baixa","Não","Todo escola particular","Vocação","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",1,"até R$ 1.405,50","Baixíssima","Mais de uma cota","Todo escola pública","Vocação","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Outro","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Não quero declarar",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Outro","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Amarela",1,"até R$ 1.405,50","Baixíssima","Renda","Todo escola pública","Outro","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Maior parte escola pública","Vocação","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Vocação","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Branca",3,"R$ 2.811,01 a R$ 4.216,50","Média-baixa","Escola pública","Todo escola pública","Inserção no Mercado de Trabalho","M","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",1,"até R$ 1.405,50","Baixíssima","Escola pública","Todo escola pública","Outro","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Vocação","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Branca",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Escola pública","Todo escola pública","Vocação","M","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Escola pública","Todo escola pública","Outro","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Branca",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Inserção no Mercado de Trabalho","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Não quero declarar",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Vocação","M","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Branca",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Vocação","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Branca",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Inserção no Mercado de Trabalho","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Branca",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola particular","Vocação","M","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Branca",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Outro","M","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Vocação","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",1,"até R$ 1.405,50","Baixíssima","Étnico-racial","Todo escola pública","Outro","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Vocação","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Vocação","M","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Escola pública","Todo escola pública","Inserção no Mercado de Trabalho","M","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",1,"até R$ 1.405,50","Baixíssima","Mais de uma cota","Todo escola pública","Inserção no Mercado de Trabalho","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Preta",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Vocação","M","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Outro","M","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Preta",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Outro","M","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Branca",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Outro","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Não quero declarar",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Inserção no Mercado de Trabalho","M","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Não quero declarar",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Valorização Profissional","M","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Outro","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Preta",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Inserção no Mercado de Trabalho","M","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Preta",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Inserção no Mercado de Trabalho","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Branca",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Inserção no Mercado de Trabalho","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Branca",1,"até R$ 1.405,50","Baixíssima","Não","Maior parte escola particular","Vocação","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Branca",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Inserção no Mercado de Trabalho","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Branca",4,"R$ 4.216,51 a R$ 5.622,00","Média","Não","Todo escola pública","Outro","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Não quero declarar",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Vocação","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Preta",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Outro","M","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",1,"até R$ 1.405,50","Baixíssima","Renda","Todo escola pública","Outro","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Preta",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Outro","M","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Outro","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",1,"até R$ 1.405,50","Baixíssima","Étnico-racial","Todo escola pública","Outro","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Outro","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Vocação","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Amarela",1,"até R$ 1.405,50","Baixíssima","Escola pública","Todo escola pública","Outro","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Preta",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Mais de uma cota","Todo escola pública","Outro","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Amarela",1,"até R$ 1.405,50","Baixíssima","Mais de uma cota","Todo escola pública","Vocação","M","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Preta",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Étnico-racial","Todo escola pública","Outro","M","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",3,"R$ 2.811,01 a R$ 4.216,50","Média-baixa","Não","Todo escola pública","Vocação","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Branca",3,"R$ 2.811,01 a R$ 4.216,50","Média-baixa","Não","Todo escola particular","Vocação","M","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Preta",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Inserção no Mercado de Trabalho","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",6,"R$ 9.370,01 a R$ 28.110,00","Alta","Não","Todo escola pública","Outro","M","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Preta",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Vocação","M","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Branca",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Outro","M","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Outro","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Preta",3,"R$ 2.811,01 a R$ 4.216,50","Média-baixa","Não","Todo escola pública","Inserção no Mercado de Trabalho","M","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",1,"até R$ 1.405,50","Baixíssima","Não","Todo escola pública","Outro","F","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Amarela",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Não","Todo escola pública","Baixa concorrência","M","HISTÓRIA (LICENCIATURA)"
25,2564,13405,"Parda",2,"R$ 1.405,51 a R$ 2.811,00","Baixa","Mais de uma cota","Todo escola pública","Influência familiar","F","HISTÓRIA (LICENCIATURA)"
